5	18	0.0953	0.0038	19.91	0.02	7.95	0.09	-0.71	0.02	1.758	0.017	0.0953	0.0009	-0.897	0.026
6	17	0.0945	0.0047	22.01	0.02	8.68	0.08	-0.81	0.01	1.641	0.023	0.0968	0.0014	-0.865	0.027
7	19	0.1099	0.0028	21.35	0.02	8.97	0.05	-0.75	0.01	1.761	0.01	0.1024	0.0005	-0.833	0.022
9	18	0.068	0.0063	23.01	0.02	8.36	0.14	-0.71	0.01	1.21	0.04	0.0712	0.0026	-1.014	0.04
10	13	0	0	18.21	0.02	7.5	0.08	-1.49	0.02	4.568	0.053	0.2298	0.002	0	0
11	8	0.1194	0.0038	18.91	0.02	7.78	0.1	-0.75	0.03	2.158	0.02	0.1119	0.001	-0.804	0.024
12	17	0.1303	0.002	23.01	0.02	11.08	0.07	-0.8	0.01	1.294	0.01	0.1294	0.0005	-0.758	0.019
13	9	0.2649	0.006	21.59	0.02	9.24	0.12	-2.06	0.03	4.84	0.069	0.2863	0.0046	-0.264	0.017
14	7	0.0405	0.0035	14.21	2.27	0	0	0	0	0	0	0	0	0	0
15	6	0	0	20.65	0.02	8.86	0.46	-0.71	0.02	1.841	0.144	0.1033	0.0075	0	0
16	25	0.1207	0.0041	22.45	0.02	8.46	0.03	-1.02	0.01	1.887	0.01	0.1109	0.0005	-0.72	0.022
18	17	0.1052	0.0015	21.69	0.02	8.82	0.06	-0.82	0.01	1.762	0.007	0.1035	0.0005	-0.827	0.02
19	15	0.2458	0.0045	21.49	0.02	10.06	0.03	-1.75	0.01	4.843	0.024	0.286	0.0013	-0.334	0.016
20	13	0.0771	0.0093	19.45	0.02	6.09	0.12	-0.69	0.02	1.312	0.02	0.0681	0.001	-0.978	0.048
21	21	0.1275	0.0022	25.07	0.02	9.67	0.06	-1.27	0.01	1.936	0.011	0.1285	0.001	-0.642	0.019
24	11	0	0	20.45	0.02	9.62	0.06	-1.43	0.02	4.555	0.087	0.2475	0.0043	0	0
29	6	0	0	21.91	0.02	9.12	0.12	-0.87	0.01	1.903	0.041	0.1137	0.0027	0	0
30	8	0.0948	0.0028	20.63	0.02	8.11	0.16	-0.79	0.02	1.785	0.017	0.0994	0.0012	-0.872	0.024
40	18	0.0874	0.0075	20.91	0.02	7.15	0.24	-0.83	0.03	1.565	0.048	0.0849	0.0031	-0.886	0.038
42	9	0.1161	0.0057	17.67	0.02	6.85	0.12	-0.7	0.03	2.023	0.027	0.1018	0.0013	-0.832	0.029
43	5	0.0746	0.0026	19.1	0.99	0	0	0	0	0	0	0	0	0	0
44	26	0.0278	0.0039	17.83	0.02	2.86	0.31	-0.34	0.01	0.49	0.013	0.0245	0.0006	-1.513	0.06
54	7	0	0	21.51	0.02	9.44	0.08	-1.98	0.01	4.873	0.046	0.288	0.0027	0	0
56	9	0.2728	0.005	19.39	0.02	9.1	0.03	-1.46	0.01	5.321	0.021	0.2665	0.0008	-0.345	0.014
63	6	0	0	18.67	0.02	6.1	0.56	-0.85	0.1	1.778	0.074	0.0919	0.0039	0	0
71	5	0	0	16.25	0.02	3.56	0.73	-0.66	0.07	1.173	0.016	0.0587	0.0008	0	0
77	5	0	0	23.41	0.02	7.22	1.03	-1.16	0.11	1.71	0.164	0.0937	0.0148	0	0
84	5	0	0	20.87	0.02	9.77	0.05	-1.52	0.01	4.565	0.02	0.2567	0.001	0	0
87	9	0	0	21.21	0.02	10.11	0.06	-1.02	0.01	3.031	0.064	0.1744	0.0033	0	0
92	5	0	0	23.63	0.02	7.31	0.1	-0.78	0.02	1.146	0.013	0.0631	0.0006	0	0
97	7	0.1676	0.0056	22.19	0.02	10.5	0.04	-1.23	0.01	3.244	0.021	0.2026	0.0012	-0.553	0.02
113	7	0.0762	0.0071	18.45	0.02	7.22	0.11	-0.52	0.03	1.429	0.027	0.0736	0.0016	-1.055	0.045
115	6	0	0	21.09	0.02	8.76	0.14	-0.7	0.01	1.646	0.021	0.0944	0.0013	0	0
128	9	0	0	19.93	0.02	9.34	0.33	-1.5	0.02	5.067	0.191	0.2649	0.0071	0	0
131	7	0	0	20.83	0.02	10.09	0.14	-0.46	0.01	1.483	0.036	0.0821	0.0017	0	0
132	10	0.1328	0.0041	19.09	0.02	6.6	0.12	-1.14	0.05	2.464	0.035	0.129	0.0016	-0.659	0.025
138	8	0.1063	0.0114	18.97	3.01	0	0	0	0	0	0	0	0	0	0
161	5	0	0	19.43	0.02	7.6	0.03	-1.25	0.05	3.135	0.039	0.1669	0.0022	0	0
172	10	0.1173	0.0042	28.11	0.02	12.82	0.24	-1.43	0.01	1.703	0.019	0.1705	0.0072	-0.641	0.023
186	5	0	0	16.87	0.02	8.18	0.25	-0.43	0.02	2.446	0.031	0.0954	0.0031	0	0
192	10	0.0989	0.0008	20.41	0.02	8.81	0.14	-0.6	0.01	1.611	0.012	0.0892	0.0007	-0.93	0.023
197	5	0	0	20.37	0.02	9.51	0.24	-0.8	0.02	2.531	0.129	0.1371	0.0059	0	0
214	7	0	0	14.91	0.02	3.55	0.34	-0.44	0.03	0.893	0.02	0.0447	0.001	0	0
219	7	0.0926	0.0065	19.71	0.02	7.24	0.14	-0.76	0.07	1.698	0.05	0.0909	0.0024	-0.889	0.043
234	15	0.1251	0.0031	29.31	0.02	12.59	0.36	-1.56	0.04	1.617	0.048	0.1603	0.0045	-0.596	0.023
236	7	0	0	26.75	0.02	12.66	0.05	-1.26	0.01	1.805	0.018	0.1688	0.001	0	0
335	10	0	0	16.47	0.02	7.45	0.15	-1.14	0.02	5.368	0.061	0.2286	0.0022	0	0
