347	5	0	0	22.59	0.02	10.15	0.35	-0.78	0.01	1.769	0.129	0.1128	0.0091	0	0
376	5	0	0	20.43	0.02	9.66	0.37	-0.47	0.01	1.508	0.017	0.0816	0.0009	0	0
377	6	0	0	20.65	0.02	9.69	0.09	-1.6	0.02	4.957	0.061	0.2738	0.0028	0	0
387	9	0	0	28.51	0.02	13.47	0.13	-1.41	0.01	1.601	0.061	0.1775	0.0095	0	0
409	9	0	0	19.67	0.02	8.96	0.18	-1.54	0.02	5.049	0.095	0.2629	0.003	0	0
419	6	0	0	13.99	0.02	6.6	0.11	-1.27	0.04	9.81	0.291	0.3236	0.004	0	0
434	6	0	0	19.07	0.02	7.7	0.21	-0.33	0.04	0.909	0.025	0.0476	0.0015	0	0
472	7	0.1753	0.0161	19.27	0.02	9.29	0.11	-0.64	0.01	2.564	0.05	0.1243	0.0017	-0.714	0.036
511	10	0.2829	0.01	19.59	0.02	9.15	0.07	-1.66	0.02	5.815	0.083	0.2969	0.0033	-0.299	0.018
584	6	0.108	0.0028	19.33	0.02	7.53	0.11	-0.75	0.04	1.892	0.027	0.1004	0.0015	-0.838	0.027
660	9	0	0	18.81	0.02	6.51	0.6	-0.63	0.05	1.4	0.074	0.0729	0.0038	0	0
679	7	0.1825	0.0046	27.23	0.9	0	0	0	0	0	0	0	0	0	0
796	7	0.1145	0.0032	21.07	0.02	6.71	0.33	-1.21	0.1	2.122	0.062	0.1132	0.0017	-0.692	0.034
863	7	0	0	18.25	0.02	8.95	0.13	-0.19	0.01	0.936	0.038	0.0405	0.0014	0	0
980	6	0	0	29.11	0.02	12.2	0.14	-1.24	0.01	1.317	0.049	0.1231	0.0068	0	0
1021	10	0	0	15.63	0.02	7.51	0.1	-0.71	0.02	4.673	0.042	0.1675	0.0017	0	0
2867	6	0	0	17.15	0.02	4.11	0.62	-0.41	0.04	0.737	0.02	0.037	0.001	0	0
